model_name,test_name,mse,activation,mu,my,hlszs,bsz,e,p,lr,weight_decay
grid0_20,step_choke_low,2.2299679195774453e-05,LeakyReLU,50,5,200,64,200,5,0.001,0.1
grid0_20,step_choke_high,3.6596333562296683e-06,LeakyReLU,50,5,200,64,200,5,0.001,0.1
grid0_20,random_walk_short,1.7346750434127546e-06,LeakyReLU,50,5,200,64,200,5,0.001,0.1
grid0_20,mixed_ramp_short,5.768661760605556e-09,LeakyReLU,50,5,200,64,200,5,0.001,0.1
grid0_20,multiple_steps_interval100,4.768397231090465e-07,LeakyReLU,50,5,200,64,200,5,0.001,0.1
grid0_21,step_choke_medium,2.8592002568724896e-07,LeakyReLU,50,20,10,64,200,5,0.001,0.1
grid0_21,step_choke_low,3.827111296621817e-05,LeakyReLU,50,20,10,64,200,5,0.001,0.1
grid0_21,step_choke_high,6.45945276898731e-06,LeakyReLU,50,20,10,64,200,5,0.001,0.1
grid0_21,random_walk_short,1.2348576884476409e-06,LeakyReLU,50,20,10,64,200,5,0.001,0.1
grid0_21,mixed_ramp_short,9.35211271694958e-09,LeakyReLU,50,20,10,64,200,5,0.001,0.1
grid0_21,multiple_steps_interval100,2.2994310920890554e-07,LeakyReLU,50,20,10,64,200,5,0.001,0.1
grid0_22,step_choke_medium,4.556484262658549e-06,LeakyReLU,50,20,40,64,200,5,0.001,0.1
grid0_22,step_choke_low,1.3407054731422769e-05,LeakyReLU,50,20,40,64,200,5,0.001,0.1
grid0_22,step_choke_high,4.184338779720877e-06,LeakyReLU,50,20,40,64,200,5,0.001,0.1
grid0_22,random_walk_short,1.33291112198945e-06,LeakyReLU,50,20,40,64,200,5,0.001,0.1
grid0_22,mixed_ramp_short,1.4345260220061634e-08,LeakyReLU,50,20,40,64,200,5,0.001,0.1
grid0_22,multiple_steps_interval100,1.8925397820593185e-07,LeakyReLU,50,20,40,64,200,5,0.001,0.1
grid0_23,step_choke_medium,5.860093681673918e-06,LeakyReLU,50,20,200,64,200,5,0.001,0.1
grid0_23,step_choke_low,1.3981602803271795e-05,LeakyReLU,50,20,200,64,200,5,0.001,0.1
